Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018
81 St-Museum    of Natural History,CB,Manhattan,99,18407.0,18592.0,18041.0,16569.0,17293,15247
86 St,1,Manhattan,56,23929.0,25221.0,24588.0,24228.0,21901,22559
86 St,654,Manhattan,20,74891.0,74502.0,76054.0,70271.0,48187,46269
86 St  *,CB,Manhattan,319,10117.0,10321.0,9597.0,8603.0,8558,3702
86 St,Q,Manhattan,33,,,,,30782,29540
96 St,321,Manhattan,19,50175.0,57611.0,54984.0,51360.0,46701,46410
96 St,6,Manhattan,117,20498.0,22217.0,21115.0,21033.0,13940,13124
96 St,CB,Manhattan,255,8883.0,9061.0,8183.0,7127.0,7663,5691
96 St,Q,Manhattan,70,,,,,20019,20254
Astor Place,6,Manhattan,75,22486.0,22557.0,19413.0,18199.0,20081,19118
Bowery,ZJ,Manhattan,250,4982.0,5320.0,6200.0,6071.0,7018,5935
Bowling Green,54,Manhattan,82,23531.0,25472.0,20356.0,15072.0,13956,17548
Broad St,ZJ,Manhattan,346,97.0,101.0,1624.0,3905.0,4549,3165
Broadway-Lafayette    St    /Bleecker St,6MFDB,Manhattan,24,49686.0,49789.0,47332.0,45189.0,42746,39512
Brooklyn    Bridge-City Hall   /Chambers St,ZJ654,Manhattan,61,25612.0,27091.0,24778.0,24004.0,23682,21829
Canal St,1,Manhattan,290,4628.0,4838.0,4339.0,4478.0,4333,4690
